Bin Center, Count
1.4035, 268
1.4045, 264
1.4055, 244
1.4065, 300
1.4075, 247
1.4085, 252
1.4095, 262
1.4105, 291
1.4115, 263
1.4125, 274
1.4135, 257
1.4145, 264
1.4155, 245
1.4165, 235
1.4175, 240
1.4185, 242
1.4195, 225
1.4205, 257
1.4215, 240
1.4225, 226
1.4235, 230
1.4245, 246
1.4255, 234
1.4265, 221
1.4275, 234
1.4285, 262
1.4295, 222
1.4305, 233
1.4315, 239
1.4325, 241
1.4335, 240
1.4345, 216
1.4355, 221
1.4365, 233
1.4375, 222
1.4385, 219
1.4395, 218
1.4405, 233
1.4415, 245
1.4425, 244
1.4435, 212
1.4445, 227
1.4455, 265
1.4465, 232
1.4475, 272
1.4485, 244
1.4495, 226
1.4505, 237
1.4515, 221
1.4525, 239
1.4535, 263
1.4545, 263
1.4555, 227
1.4565, 236
1.4575, 253
1.4585, 215
1.4595, 233
1.4605, 201
1.4615, 226
1.4625, 221
1.4635, 237
1.4645, 221
1.4655, 224
1.4665, 219
1.4675, 213
1.4685, 241
1.4695, 235
1.4705, 220
1.4715, 228
1.4725, 224
1.4735, 221
1.4745, 221
1.4755, 219
1.4765, 204
1.4775, 245
1.4785, 216
1.4795, 188
1.4805, 212
1.4815, 199
1.4825, 221
1.4835, 222
1.4845, 225
1.4855, 243
1.4865, 243
1.4875, 212
1.4885, 255
1.4895, 230
1.4905, 200
1.4915, 212
1.4925, 219
1.4935, 193
1.4945, 203
1.4955, 230
1.4965, 215
1.4975, 230
1.4985, 208
1.4995, 236
1.5005, 218
1.5015, 231
1.5025, 220
1.5035, 210
1.5045, 232
1.5055, 269
1.5065, 233
1.5075, 221
1.5085, 195
1.5095, 213
1.5105, 221
1.5115, 215
1.5125, 233
1.5135, 213
1.5145, 198
1.5155, 210
1.5165, 215
1.5175, 222
1.5185, 206
1.5195, 244
1.5205, 215
1.5215, 227
1.5225, 197
1.5235, 209
1.5245, 203
1.5255, 242
1.5265, 234
1.5275, 237
1.5285, 237
1.5295, 228
1.5305, 229
1.5315, 199
1.5325, 186
1.5335, 230
1.5345, 209
1.5355, 215
1.5365, 227
1.5375, 233
1.5385, 248
1.5395, 228
1.5405, 225
1.5415, 254
1.5425, 252
1.5435, 225
1.5445, 228
1.5455, 247
1.5465, 225
1.5475, 243
1.5485, 254
1.5495, 267
1.5505, 229
1.5515, 230
1.5525, 251
1.5535, 241
1.5545, 273
1.5555, 276
1.5565, 265
1.5575, 247
1.5585, 277
1.5595, 264
1.5605, 310
1.5615, 263
1.5625, 242
1.5635, 244
1.5645, 275
1.5655, 277
1.5665, 245
1.5675, 243
1.5685, 286
1.5695, 305
1.5705, 282
1.5715, 266
1.5725, 273
1.5735, 187
1.5745, 176
1.5755, 181
1.5765, 200
1.5775, 206
1.5785, 167
1.5795, 209
1.5805, 192
1.5815, 198
1.5825, 213
1.5835, 194
1.5845, 212
1.5855, 173
1.5865, 204
1.5875, 181
1.5885, 187
1.5895, 197
1.5905, 203
1.5915, 181
1.5925, 196
1.5935, 178
1.5945, 165
1.5955, 215
1.5965, 213
1.5975, 185
1.5985, 195
1.5995, 184
1.6005, 198
1.6015, 204
1.6025, 234
1.6035, 187
1.6045, 264
1.6055, 218
1.6065, 229
1.6075, 210
1.6085, 201
1.6095, 192
1.6105, 227
